title,budget,revenue,genres,top_cast,director,producers,composers,vote_average,release_month,runtime,vote_count
Toy Story,30000000.0,373554033.0,"['Animation', 'Comedy', 'Family']","['Tom Hanks', 'Tim Allen', 'Don Rickles']",John Lasseter,"['Bonnie Arnold', 'Ralph Guggenheim']",[],7.7,10,81.0,5415.0
Jumanji,65000000.0,262797249.0,"['Adventure', 'Fantasy', 'Family']","['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']",Joe Johnston,"['Scott Kroopf', 'William Teitler']",['James Horner'],6.9,12,104.0,2413.0
Waiting to Exhale,16000000.0,81452156.0,"['Comedy', 'Drama', 'Romance']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine']",Forest Whitaker,"['Ronald Bass', 'Ezra Swerdlow', 'Deborah Schindler', 'Caron K']",['Kenneth Edmonds'],6.1,12,127.0,34.0
Heat,60000000.0,187436818.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Al Pacino', 'Robert De Niro', 'Val Kilmer']",Michael Mann,"['Art Linson', 'Michael Mann']",['Elliot Goldenthal'],7.7,12,170.0,1886.0
Sudden Death,35000000.0,64350171.0,"['Action', 'Adventure', 'Thriller']","['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']",Peter Hyams,"['Moshe Diamant', 'Anders P. Jensen', 'Howard Baldwin']",[],5.5,12,106.0,174.0
GoldenEye,58000000.0,352194034.0,"['Adventure', 'Action', 'Thriller']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']",Martin Campbell,"['Barbara Broccoli', 'Michael G. Wilson', 'Anthony Waye']",['Eric Serra'],6.6,11,130.0,1194.0
The American President,62000000.0,107879496.0,"['Comedy', 'Drama', 'Romance']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox']",Rob Reiner,['Rob Reiner'],[],6.5,11,106.0,199.0
Nixon,44000000.0,13681765.0,"['History', 'Drama']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",Oliver Stone,"['Dan Halsted', 'Oliver Stone']",['John Williams'],7.1,12,192.0,72.0
Cutthroat Island,98000000.0,10017322.0,"['Action', 'Adventure']","['Geena Davis', 'Matthew Modine', 'Frank Langella']",Renny Harlin,"['Joel B. Michaels', 'Laurence Mark', 'Renny Harlin', 'James Gorman']",[],5.7,12,119.0,137.0
Casino,52000000.0,116112375.0,"['Drama', 'Crime']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",Martin Scorsese,"['Barbara De Fina', 'Joseph P. Reidy']",[],7.8,11,178.0,1343.0
Sense and Sensibility,16500000.0,135000000.0,"['Drama', 'Romance']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant']",Ang Lee,['Lindsay Doran'],[],7.2,12,136.0,364.0
Four Rooms,4000000.0,4300000.0,"['Crime', 'Comedy']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']",Quentin Tarantino,['Lawrence Bender'],['Combustible Edison'],6.5,12,98.0,539.0
Ace Ventura: When Nature Calls,30000000.0,212385533.0,"['Crime', 'Comedy', 'Adventure']","['Jim Carrey', 'Ian McNeice', 'Simon Callow']",Steve Oedekerk,"['Bob Israel', 'Andrew G. La Marca', 'James G. Robinson']",['Robert Folk'],6.1,11,90.0,1128.0
Money Train,60000000.0,35431113.0,"['Action', 'Comedy', 'Crime']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']",Joseph Ruben,"['Neil Canton', 'Jon Peters']",['Mark Mancina'],5.4,11,103.0,224.0
Get Shorty,30250000.0,115101622.0,"['Comedy', 'Thriller', 'Crime']","['John Travolta', 'Gene Hackman', 'Rene Russo']",Barry Sonnenfeld,"['Danny DeVito', 'Michael Shamberg', 'Stacey Sher']",['John Lurie'],6.4,10,105.0,305.0
